CTRY,YEAR,INF,INF(-1),INF(-2),CBI(-1),G(-1),U(-1),T(-1)  I,NFA(-1),F(-1),CWB
19,1978,3.6,0.3,2.7,0.84125,5.607143,0.3279,0.582599,10.01667,0.077,0.75
19,1979,2,3.6,0.3,0.84125,5.607143,0.3227,0.554245,8.788889,0.079,0.75
19,1980,2.7,2,3.6,0.84125,5.607143,0.3166,0.585609,9.5,0.081,0.75

19,1981,6.9,2.7,2,0.851563,5.607143,0.3113,0.649019,10.62778,0.083571,0.75
19,1982,7.3,6.9,2.7,0.851563,5.607143,0.3043,0.611201,10.26111,0.086143,0.75
19,1983,3.3,7.3,6.9,0.851563,5.607143,0.3014,0.565316,9.45,0.088714,0.75
19,1984,2.8,3.3,7.3,0.851563,5.607143,0.3002,0.564198,6.472222,0.091286,0.75
19,1985,2.7,2.8,3.3,0.851563,5.607143,0.297,0.608724,5.822222,0.093857,0.75
19,1986,3.8,2.7,2.8,0.851563,5.607143,0.2846,0.620061,5.483333,0.096429,0.75
19,1987,2.5,3.8,2.7,0.851563,5.607143,0.2786,0.577309,5.194444,0.099,0.75
19,1988,3,2.5,3.8,0.851563,5.607143,0.2765,0.560063,4.444444,0.102,0.75
19,1989,3.3,3,2.5,0.851563,5.607143,0.2693,0.582947,4.166667,0.104,0.75
19,1990,4.5,3.3,3,0.851563,5.607143,0.2656,0.618034,4.311111,0.105,0.75
20,1972,9.4,6.3,4.9,0.473771,7.096027,0.4452,0.246179,7.427778,0.072,0.25
20,1973,14.7,9.4,6.3,0.473771,7.098769,0.4499,0.230416,7.577778,0.071,0.25
20,1974,18.4,14.7,9.4,0.473771,3.5857,0.4625,0.2412,9.266667,0.069,0.25
20,1975,15.1,18.4,14.7,0.473771,3.5857,0.4747,0.271134,11.96667,0.073,0.25
20,1976,11.1,15.1,18.4,0.473771,3.875844,0.4742,0.245194,13.16667,0.074,0.25
20,1977,7.7,11.1,15.1,0.473771,7.0816,0.4673,0.250639,10.44444,0.077,0.25
20,1978,7.9,7.7,11.1,0.473771,7.0816,0.458,0.265484,9.605556,0.078,0.25
20,1979,11,7.9,7.7,0.473771,7.0878,0.4587,0.258741,8.55,0.078,0.25
20,1980,10.1,11,7.9,0.473771,7.0878,0.4643,0.28286,9,0.08,0.25
20,1981,10.2,10.1,11,0.473771,7.088714,0.464,0.293814,10.21667,0.082,0.25
20,1982,10.9,10.2,10.1,0.473771,7.098769,0.4599,0.276254,10.07778,0.087,0.25
20,1983,7.5,10.9,10.2,0.473771,7.098769,0.4586,0.284214,9.25,0.092,0.25
20,1984,6.1,7.5,10.9,0.473771,4.463967,0.4457,0.253823,6.238889,0.092,0.25
20,1985,7,6.1,7.5,0.473771,3.5857,0.4446,0.26903,5.638889,0.096,0.25
20,1986,7.2,7,6.1,0.473771,3.5857,0.4537,0.302009,5.244444,0.1,0.25
20,1987,7.7,7.2,7,0.473771,3.5857,0.4517,0.290589,5.005556,0.102,0.25
20,1988,9.1,7.7,7.2,0.473771,3.5857,0.4448,0.283018,4.155556,0.109,0.25
20,1989,7,9.1,7.7,0.473771,3.5857,0.4361,0.277419,3.827778,0.109,0.25
20,1990,4.5,7,9.1,0.473771,3.5857,0.4269,0.291222,4.105556,0.113,0.25
21,1972,10.5,13.5,10.2,0.150495,6.1879,0.527,0.34709,7.027778,0.06,0.25
21,1973,7.8,10.5,13.5,0.150495,6.1879,0.54781,0.351032,7.516667,0.061,0.25
21,1974,3.1,7.8,10.5,0.150495,3.989,0.577098,0.380987,9.65,0.062,0.25
21,1975,16.6,3.1,7.8,0.150495,3.989,0.568556,0.430797,12.81667,0.063,0.25
21,1976,17.4,16.6,3.1,0.150495,3.989,0.579539,0.37794,13.08333,0.064,0.25
21,1977,15.1,17.4,16.6,0.150495,6.1879,0.584,0.431622,10.09444,0.065,0.25
21,1978,14.2,15.1,17.4,0.150495,6.1879,0.588081,0.454258,9.194444,0.066,0.25
21,1979,19.6,14.2,15.1,0.150495,6.1879,0.596623,0.413081,8.2,0.067,0.25
21,1980,13.7,19.6,14.2,0.150495,6.1879,0.614928,0.460829,8.522222,0.068,0.25
21,1981,15.6,13.7,19.6,0.150495,6.1879,0.617368,0.484404,10.01667,0.07,0.25
21,1982,10.9,15.6,13.7,0.150495,6.1879,0.607,0.468247,9.777778,0.072,0.25
21,1983,1.5,10.9,15.6,0.150495,6.1879,0.611267,0.478863,9.25,0.074,0.25
21,1984,8.2,1.5,10.9,0.150495,6.1879,0.603945,0.459411,6.572222,0.076,0.25
21,1985,15.2,8.2,1.5,0.150495,5.271692,0.566,0.517254,5.522222,0.077,0.25
21,1986,17,15.2,8.2,0.150495,3.989,0.56,0.517262,4.788889,0.078,0.25
21,1987,15.4,17,15.2,0.150495,3.989,0.56977,0.415222,4.461111,0.086,0.25
21,1988,7.9,15.4,17,0.150495,3.989,0.580181,0.390051,3.727778,0.091,0.25
21,1989,5,7.9,15.4,0.150495,3.989,0.586733,0.367482,3.894444,0.099,0.25
21,1990,4.4,5,7.9,0.150495,3.989,0.58965,0.413545,4.216667,0.098,0.25
